query,target,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,tend,evalue,bits,source_db
long_seq_5,QGM12360.2,1.0,618,0,0,5,622,2,619,4.521e-95,4031,Ebola_GP_foldseekdb
long_seq_5,QGM12360.2,1.0,618,0,0,5,622,2,619,4.521e-95,4031,Ebola_GP_foldseekdb
long_seq_5,YP_010800198.1,1.0,618,0,0,5,622,2,619,4.521e-95,4031,Ebola_GP_foldseekdb
long_seq_7,AGB56682.1,0.202,2063,1613,0,31,2052,3,2065,1.369e-83,3968,Ebola_L_foldseekdb
long_seq_7,AAA79970.1,0.2,2063,1617,0,31,2052,3,2065,4.473e-83,3944,Ebola_L_foldseekdb
long_seq_7,AAA79970.1,0.2,2063,1617,0,31,2052,3,2065,4.473e-83,3944,Ebola_L_foldseekdb
long_seq_7,WEY07143.1,0.199,2063,1619,0,31,2052,3,2065,7.326e-83,3934,Ebola_L_foldseekdb
long_seq_7,AGL50931.1,0.197,2063,1623,0,31,2052,3,2065,7.697e-83,3933,Ebola_L_foldseekdb
long_seq_7,AGL50931.1,0.197,2063,1623,0,31,2052,3,2065,7.697e-83,3933,Ebola_L_foldseekdb
long_seq_7,ACR33194.1,0.2,2063,1617,0,31,2052,3,2065,1.613e-82,3918,Ebola_L_foldseekdb
long_seq_7,ACR33194.1,0.2,2063,1617,0,31,2052,3,2065,1.613e-82,3918,Ebola_L_foldseekdb
long_seq_7,WEY06666.1,0.201,2073,1611,0,31,2047,3,2075,1.695e-82,3917,Ebola_L_foldseekdb
long_seq_7,WEY06441.1,0.198,2063,1621,0,31,2052,3,2065,1.781e-82,3916,Ebola_L_foldseekdb
long_seq_5,YP_010800908.1,0.302,597,415,0,5,601,2,596,1.5960000000000002e-31,1371,Ebola_GP_foldseekdb
long_seq_5,UCU83238.1,0.302,597,415,0,5,601,2,596,1.5960000000000002e-31,1371,Ebola_GP_foldseekdb
long_seq_5,QGM12357.2,0.3,605,415,0,1,594,14,618,1.7270000000000002e-28,1244,Ebola_GP_foldseekdb
long_seq_5,YP_010800191.1,0.3,605,415,0,1,594,14,618,1.7270000000000002e-28,1244,Ebola_GP_foldseekdb
long_seq_5,QGM12357.2,0.3,605,415,0,1,594,14,618,1.7270000000000002e-28,1244,Ebola_GP_foldseekdb
long_seq_5,WBV79888.1,0.294,595,412,0,18,601,4,598,4.91e-28,1225,Ebola_GP_foldseekdb
long_seq_5,AVM87245.1,0.259,606,440,0,14,619,32,626,5.437e-22,972,Ebola_GP_foldseekdb
long_seq_2,ALH21451.1,0.151,390,323,0,29,418,10,390,8.663e-06,351,Ebola_NP_foldseekdb
long_seq_2,ALX33900.1,0.153,390,322,0,29,418,10,390,9.503e-06,349,Ebola_NP_foldseekdb
